hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p23_hook_right_main_001,0.2376887974300647,0.3761857696259461,0.19520132815039615,0.2736408732673364,0.10390761835084628,0.08974466584430447,0.068112747188495,0.053206026699488304,0.047619114889460835,0.37809078684475583,0.5116404487522355,0.47157555017999153
p23_hook_right_main_002,0.2698400011778202,0.33995759765161326,0.18475003505136067,0.2860612098241194,0.09833264535014644,0.15738085601413085,0.05338737398964534,0.04810294367935865,0.04761911812326214,0.41044177634299484,0.5573161390236381,0.5132538302194452
p23_hook_right_main_003,0.23405559122676173,0.3065087374807333,0.1394081671996252,0.264826737950777,0.11910967990441049,0.10468918101593602,0.05306941112998708,0.04794341420868954,0.04761907694596721,0.448067922672192,0.3861871970525628,0.40475141473845155
p23_hook_right_main_004,0.22109342530842224,0.33898148899094516,0.16946259858342086,0.2747883661489676,0.07435746838408962,0.09253825507282439,0.05150806534495324,0.04791476144917672,0.04761905820811215,0.3799657348857345,0.4540422910232555,0.4318193241819992
p23_hook_right_main_005,0.21064175199208507,0.35409713802067583,0.17476916905569675,0.27391986507654686,0.11701489920070247,0.09431249179429521,0.05259229341104132,0.04801968131920068,0.047619059708309985,0.42209491628251133,0.4622139004578991,0.45017820520528273
p23_hook_right_main_006,0.24891842816184812,0.35516026410644386,0.20334990383798018,0.2827986758386249,0.13461128749861007,0.10661927091873227,0.053083006445540676,0.047952693301807195,0.047619216737285225,0.45335289821716807,0.5168734701753324,0.49781729858788304
p23_hook_right_main_007,0.22423159657501818,0.33307317618541016,0.1698051973403229,0.2586651462791495,0.11420077152789858,0.09102892435432608,0.05230378489053956,0.04788395296469507,0.04761906385269206,0.4400038231748741,0.412468896218673,0.42072937430553325
p23_hook_right_main_008,0.22053236898694215,0.3338292176074495,0.18169525649694576,0.28129185468278506,0.0635854358974424,0.11607523663048222,0.05344157232102878,0.04801238079874628,0.04761909787193359,0.40363427977511257,0.4508701800635963,0.43669940997705115
p23_hook_right_main_009,0.23865361582567096,0.3516901875998556,0.21346691237845422,0.27143869648953456,0.12616270735145713,0.10005427270742988,0.052716510826926626,0.04795383414761338,0.04761913277531401,0.4706610828479182,0.4744189765221472,0.4732916084198785
p23_hook_right_main_010,0.2340656766285507,0.3507783138155057,0.1852527704471589,0.28190426969783927,0.07861167480713215,0.11028679282690297,0.05303066071063497,0.047950574859531775,0.04761909845968126,0.3920030247216072,0.49680836903026676,0.4653667657376689
p23_hook_right_main_011,0.24539331985576415,0.35316661111433817,0.16280267976569388,0.25683581363796704,0.11039107796745165,0.08504710291418494,0.07463263852951027,0.05761586788737499,0.047619055588612,0.4055386588001726,0.4180245437062721,0.41427877823444226
p23_hook_right_main_012,0.24213846683476953,0.3195137446066915,0.13931939186906903,0.2529460239586478,0.0856094511315549,0.08667289818333146,0.052598139613010166,0.04803051552845294,0.047619053453187433,0.41808738324538286,0.3673106909237587,0.38254369862024595
p23_hook_right_main_013,0.2564287531043026,0.3604297640891374,0.1849460124832923,0.2690464008660186,0.10284129973720091,0.09140020360268292,0.06583626040740993,0.05782473062246533,0.047619087427774064,0.38221454067889105,0.4929393304207534,0.4597218934981947
p23_hook_right_main_014,0.257968655005687,0.30056005332079166,0.1364026529002686,0.278069685200534,0.13024852786049018,0.12770865369667886,0.05176906052716499,0.04792384431953286,0.0476191598982677,0.4515762597056188,0.43793033648369073,0.44202411345026915
p23_hook_right_main_015,0.23541332658870476,0.4067850489839464,0.22001407007077445,0.2951413316900144,0.1834742893266227,0.1165202169676133,0.05683095381436857,0.048894070125216016,0.047619433779192644,0.537459902067343,0.5404671250677543,0.5395649581676308
p23_hook_right_main_016,0.23378820417344465,0.33688234365168684,0.1867215778960551,0.24355319395716862,0.12534694161870913,0.09433374803537661,0.05364179227306548,0.04796027209167556,0.04761905445628945,0.43439356956944974,0.4419124094956784,0.43965675751780975
p23_hook_right_main_017,0.23665485350410204,0.3491421096796933,0.21122357146878407,0.2733722166401985,0.13056017287661853,0.10019887825970479,0.05394567594549541,0.04797374483710702,0.047619072727066766,0.48470368206088077,0.46273694993453207,0.46932696957243664
p23_hook_right_main_018,0.2441645022114936,0.3439906524530369,0.16394798769298463,0.2668375504773768,0.06734152724343541,0.12263462523933621,0.05516109981573311,0.04794758093234044,0.047619088793917484,0.38735305125681146,0.4667513910676473,0.4429318891243965
p23_hook_right_main_019,0.30982904748096046,0.40070703006105557,0.25475238091772284,0.21919861325716522,0.21616728598864587,0.12822932758718936,0.05097121831105794,0.047876091935563206,0.047635789113994895,0.5551151576301976,0.5712632491799227,0.5664188217150051
p23_hook_right_main_020,0.19730585984192178,0.3177819361264175,0.14753244642285085,0.22434523677856594,0.07210134998331344,0.06514807405838383,0.05206217709297953,0.047882885887610395,0.04761904907169134,0.3839844240357396,0.32138173885436333,0.3401625444087762
p23_hook_right_main_021,0.26076423599276366,0.3451683201067177,0.1781966145408807,0.28283310285368646,0.07080324638855337,0.1201276237064353,0.05284754286850688,0.04799326196850081,0.04761910743090928,0.40714313765703436,0.4883505760226959,0.46398834451299736
