hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p08_hook_right_main_001,0.32539719950066937,0.35500632147672934,0.2681936485730106,0.2443733491400165,0.19703026151859931,0.23341906810320542,0.055776788246935674,0.04865245807161928,0.047648566342431364,0.5270050209419945,0.6945632881050728,0.6442958079561493
p08_hook_right_main_002,0.324152265035994,0.38862447092565616,0.30542232211522535,0.25814106214675875,0.21720196805424927,0.24829475297387046,0.05337167561273145,0.04851417863093875,0.047807480060340225,0.5682394229817911,0.7576137144419453,0.7008014270038989
p08_hook_right_main_003,0.22741909599692905,0.31420520774375904,0.17182188362781445,0.2595185061492279,0.10819888018340267,0.17235587630532745,0.06204069385342925,0.04822847688565578,0.047619314981733385,0.4674810012950955,0.45069349319633484,0.455729745625963
p08_hook_right_main_004,0.24466405283660383,0.33511100647855363,0.1724495729700266,0.2381773819544105,0.13968091399454868,0.17236103895776486,0.06270401299593441,0.048381786387737234,0.04761912688501688,0.48050481619698626,0.4719341007956545,0.474505315416054
p08_hook_right_main_005,0.31210325857039156,0.352354748506429,0.23633630570841252,0.2596720402059992,0.2134614813554893,0.24400842597569755,0.05557279064275708,0.04870854216950125,0.04793493286683501,0.5395396338586144,0.6895203579727036,0.6445261407384768
p08_hook_right_main_006,0.32016472304322685,0.32556949746312763,0.20842219830096945,0.2206734904325054,0.19400432088112468,0.23967054998745024,0.056946503121809225,0.04943023874941868,0.04766046945528745,0.4985237552896919,0.6293999142618922,0.5901370665702321
p08_hook_right_main_007,0.3087646477147391,0.3232030862412001,0.26442031774873653,0.20038174153865337,0.20301507515282333,0.22911850565009367,0.05717215313542,0.04876913866511703,0.04764988718909902,0.5067796686159951,0.6468560701124909,0.6048331496635421
p08_hook_right_main_008,0.3385728520374504,0.4349449337715939,0.29444125946885064,0.27383336932970537,0.25070539973797645,0.28286702883858167,0.06725711513277985,0.05437126604284959,0.048489588608308744,0.5511275988063977,0.8525696085789268,0.762137005647168
p08_hook_right_main_009,0.27997683600245304,0.3938148451487752,0.2564829504314153,0.21092789339730675,0.21634138655148885,0.20408446283784265,0.06493697180303275,0.05196209947391036,0.04762573148881971,0.5390090503451627,0.6179699215442432,0.594281660184519
p08_hook_right_main_010,0.2772583273681609,0.39959916304739335,0.24368512168737758,0.23121605793923247,0.21440031292502187,0.20659896927869026,0.06507878175307341,0.05128326072393518,0.047630392619046835,0.546021611471893,0.6198679209842279,0.5977140281305274
